stop_id;stop_name;stop_desc;zone_id;type
par_4_137;PUEBLO NUEVO;Calle de Alcalá 372;A;Metro
par_4_138;BARRIO DE LA CONCEPCION;Calle de Martínez Villergas 1;A;Metro
par_4_139;PARQUE DE LAS AVENIDAS;Avda de Bruselas 56;A;Metro
par_4_140;CARTAGENA;Avda de América 35;A;Metro
par_4_141;AVENIDA DE AMERICA;Avda de América 9 A;A;Metro
par_4_142;GREGORIO MARAÑON;Calle de José Abascal 65;A;Metro
par_4_143;ALONSO CANO;Calle de José Abascal 18;A;Metro
par_4_144;CANAL;Calle de Cea Bermúdez 1;A;Metro
par_4_145;ISLAS FILIPINAS;Calle de Cea Bermúdez 54;A;Metro
par_4_146;GUZMAN EL BUENO;Calle de Guzmán el Bueno 118;A;Metro
par_4_147;FRANCOS RODRIGUEZ;Avda de Pablo Iglesias 87;A;Metro
par_4_148;VALDEZARZA;Calle de San Restituto 70;A;Metro
par_4_149;ANTONIO MACHADO;Calle de Valderrodrigo 55;A;Metro
par_4_150;PEÑAGRANDE;Cmno de Ganapanes 35;A;Metro
par_4_151;AVENIDA DE LA ILUSTRACION;Calle de las Islas Cíes 23;A;Metro
par_4_152;LACOMA;Calle de Riscos de Polanco 3;A;Metro
par_4_153;ARROYOFRESNO;Calle de Federica Montseny 2;A;Metro
par_4_154;PITIS;Ctra a la Estación de Pitis 19;A;Metro
par_4_286;ESTADIO METROPOLITANO;Avda de Arcentales 28;A;Metro
par_4_287;BARRIO DEL PUERTO;Avda de España 8;B1;Metro
par_4_288;COSLADA CENTRAL;Calle del Doctor Fleming 41;B1;Metro
par_4_289;LA RAMBLA;Calle   Honduras 2;B1;Metro
par_4_290;SAN FERNANDO;Calle de Gonzalo de Córdoba 24;B1;Metro
par_4_291;JARAMA;Plaza   Guernica 1;B1;Metro
par_4_292;HENARES;Avda de Algorta 12;B1;Metro
par_4_296;HOSPITAL DEL HENARES;Cmno del Tiro SN;B1;Metro
est_4_132;LAS MUSAS;Avda de Niza 61;A;Metro
est_4_133;SAN BLAS;Calle de Pobladura del Valle 27;A;Metro
est_4_134;SIMANCAS;Calle del Castillo de Madrigal de las Altas Torres 15;A;Metro
est_4_135;GARCIA NOBLEJAS;Calle de Luis del Campo 1;A;Metro
est_4_136;ASCAO;Calle de Ascao 29;A;Metro
est_4_138;BARRIO DE LA CONCEPCION;Calle de Martínez Villergas 1;A;Metro
est_4_139;PARQUE DE LAS AVENIDAS;Avda de Bruselas 56;A;Metro
est_4_140;CARTAGENA;Avda de América 35;A;Metro
est_4_142;GREGORIO MARAÑON;Calle de José Abascal 65;A;Metro
est_4_143;ALONSO CANO;Calle de José Abascal 18;A;Metro
est_4_145;ISLAS FILIPINAS;Calle de Cea Bermúdez 54;A;Metro
est_4_147;FRANCOS RODRIGUEZ;Avda de Pablo Iglesias 87;A;Metro
est_4_148;VALDEZARZA;Calle de San Restituto 70;A;Metro
est_4_149;ANTONIO MACHADO;Calle de Valderrodrigo 55;A;Metro
est_4_150;PEÑAGRANDE;Cmno de Ganapanes 35;A;Metro
est_4_151;AVENIDA DE LA ILUSTRACION;Calle de las Islas Cíes 23;A;Metro
est_4_152;LACOMA;Calle de Riscos de Polanco 3;A;Metro
est_4_153;ARROYOFRESNO;Calle de Federica Montseny 2;A;Metro
est_4_154;PITIS;Ctra a la Estación de Pitis 19;A;Metro
est_4_286;ESTADIO METROPOLITANO;Avda de Arcentales 28;A;Metro
est_4_287;BARRIO DEL PUERTO;Avda de España 8;B1;Metro
est_4_288;COSLADA CENTRAL;Calle del Doctor Fleming 41;B1;Metro
est_4_289;LA RAMBLA;Calle   Honduras 2;B1;Metro
est_4_290;SAN FERNANDO;Calle de Gonzalo de Córdoba 24;B1;Metro
est_4_291;JARAMA;Plaza   Guernica 1;B1;Metro
est_4_292;HENARES;Avda de Algorta 12;B1;Metro
est_4_296;HOSPITAL DEL HENARES;Cmno del Tiro SN;B1;Metro
par_4_155;NUEVOS MINISTERIOS;Paseo de la Castellana 65;A;Metro
par_4_156;COLOMBIA;Calle del Príncipe de Vergara 258;A;Metro
par_4_157;MAR DE CRISTAL;Gta de Mar de Cristal 1;A;Metro
par_4_158;FERIA DE MADRID;Avda del Partenón 5;A;Metro
par_4_159;AEROPUERTO T1-T2-T3;Avda de la Hispanidad SN;A;Metro
par_4_160;BARAJAS;Cmno  Viejo de Hortaleza 10;A;Metro
par_4_258;PINAR DEL REY;Avda de la Gran Vía de Hortaleza 47;A;Metro
par_4_285;AEROPUERTO T-4;Ctra de Alcobendas a Barajas SN;A;Metro
est_90_33;Aeropuerto T4;Ctra de Alcobendas a Barajas SN;A;Metro
est_90_34;Aeropuerto T1 - T2 - T3;Avda de la Hispanidad SN;A;Metro
est_4_156;COLOMBIA;Calle del Príncipe de Vergara 258;A;Metro
est_4_158;FERIA DE MADRID;Avda del Partenón 5;A;Metro
est_4_160;BARAJAS;Cmno  Viejo de Hortaleza 10;A;Metro
est_4_258;PINAR DEL REY;Avda de la Gran Vía de Hortaleza 47;A;Metro
par_4_161;HERRERA ORIA;Calle de Valencia de Don Juan 1;A;Metro
par_4_162;BARRIO DEL PILAR;Calle de Ginzo de Limia 22;A;Metro
par_4_163;VENTILLA;Avda de Asturias 39;A;Metro
par_4_164;PLAZA DE CASTILLA;Paseo de la Castellana 189;A;Metro
par_4_165;DUQUE DE PASTRANA;Calle de Mateo Inurria 41;A;Metro
par_4_166;PIO XII;Avda de Pío XII 27;A;Metro
par_4_167;COLOMBIA;Calle del Príncipe de Vergara 269;A;Metro
par_4_168;CONCHA ESPINA;Calle del Príncipe de Vergara 210;A;Metro
par_4_169;CRUZ DEL RAYO;Calle del Príncipe de Vergara 138;A;Metro
par_4_170;AVENIDA DE AMERICA;Avda de América 9 A;A;Metro
par_4_171;NUÑEZ DE BALBOA;Plaza del Marqués de Salamanca 9;A;Metro
par_4_172;PRINCIPE DE VERGARA;Calle del Príncipe de Vergara 12;A;Metro
par_4_173;IBIZA;Calle de Ibiza 1;A;Metro
par_4_174;SAINZ DE BARANDA;Calle del Doctor Esquerdo 103;A;Metro
par_4_175;ESTRELLA;Calle del Camino de los Vinateros 1;A;Metro
par_4_176;VINATEROS;Calle del Camino de los Vinateros 70;A;Metro
par_4_177;ARTILLEROS;Calle del Camino de los Vinateros 210;A;Metro
par_4_178;PAVONES;Calle de la Hacienda de Pavones 342;A;Metro
par_4_179;VALDEBERNARDO;Bulv de Indalecio Prieto 26;A;Metro
par_4_180;VICALVARO;Calle de San Cipriano 11;A;Metro
par_4_181;SAN CIPRIANO;Calle de San Cipriano 68;A;Metro
par_4_182;PUERTA DE ARGANDA;Calle de San Cipriano 85;A;Metro
par_4_183;RIVAS URBANIZACIONES;Plaza de Galicia 5;B1;Metro
par_4_184;RIVAS VACIAMADRID;Calle   Areneros 6;B2;Metro
par_4_185;LA POVEDA;Parcela   9017 Polígono 1 S/N;B3;Metro
